family,wnid,pred_wnid,in_group,n,true_name,pred_name,n_total_wrong,pct_of_class_errors
ViT,n03958227,n04286575,False,4,plastic_bag,spotlight,1355,0.3
CNN,n03532672,n03908714,False,4,hook,pencil_sharpener,1948,0.2
ViT,n03958227,n04435653,False,4,plastic_bag,tile_roof,1355,0.3
CNN,n03532672,n04019541,True,4,hook,puck,1948,0.2
ViT,n02840245,n03958227,False,4,binder,plastic_bag,1142,0.4
ViT,n01740131,n07860988,False,4,night_snake,dough,1364,0.3
ViT,n01740131,n07695742,False,4,night_snake,pretzel,1364,0.3
CNN,n04081281,n04310018,False,4,restaurant,steam_locomotive,1977,0.2
CNN,n04081281,n04389033,False,4,restaurant,tank,1977,0.2
CNN,n04081281,n04201297,False,4,restaurant,shoji,1977,0.2
ViT,n02840245,n03944341,False,4,binder,pinwheel,1142,0.4
ViT,n03481172,n04204347,False,4,hammer,shopping_cart,1254,0.3
CNN,n04597913,n09256479,False,4,wooden_spoon,coral_reef,1680,0.2
ViT,n07614500,n02815834,False,4,ice_cream,beaker,1284,0.3
ViT,n03481172,n04074963,False,4,hammer,remote_control,1254,0.3
ViT,n03481172,n04120489,False,4,hammer,running_shoe,1254,0.3
CNN,n02109047,n02096585,True,4,Great_Dane,Boston_bull,1707,0.2
CNN,n02109047,n02091244,True,4,Great_Dane,Ibizan_hound,1707,0.2
CNN,n02769748,n04296562,False,4,backpack,stage,2053,0.2
CNN,n02769748,n04228054,False,4,backpack,ski,2053,0.2
ViT,n04004767,n04447861,False,4,printer,toilet_seat,1266,0.3
ViT,n02971356,n04557648,True,4,carton,water_bottle,1308,0.3
ViT,n04208210,n04371430,False,4,shovel,swimming_trunks,1205,0.3
CNN,n04033995,n04208210,False,4,quilt,shovel,1800,0.2
ViT,n03481172,n04141076,False,4,hammer,sax,1254,0.3
CNN,n01985128,n03223299,False,4,crayfish,doormat,1822,0.2
CNN,n04081281,n03916031,False,4,restaurant,perfume,1977,0.2
CNN,n01985128,n03127747,False,4,crayfish,crash_helmet,1822,0.2
ViT,n07614500,n02966193,False,4,ice_cream,carousel,1284,0.3
CNN,n03532672,n04209133,False,4,hook,shower_cap,1948,0.2
ViT,n01740131,n04336792,False,4,night_snake,stretcher,1364,0.3
ViT,n03481172,n03838899,False,4,hammer,oboe,1254,0.3
ViT,n03481172,n03871628,False,4,hammer,packet,1254,0.3
ViT,n04254120,n03691459,False,4,soap_dispenser,loudspeaker,1183,0.3
CNN,n03532672,n04286575,True,4,hook,spotlight,1948,0.2
CNN,n03532672,n04208210,False,4,hook,shovel,1948,0.2
CNN,n03532672,n04118776,True,4,hook,rule,1948,0.2
CNN,n03532672,n04133789,False,4,hook,sandal,1948,0.2
ViT,n03481172,n03888257,False,4,hammer,parachute,1254,0.3
ViT,n03958227,n07583066,False,4,plastic_bag,guacamole,1355,0.3
ViT,n03958227,n07684084,False,4,plastic_bag,French_loaf,1355,0.3
CNN,n03532672,n04326547,False,4,hook,stone_wall,1948,0.2
CNN,n03532672,n04332243,True,4,hook,strainer,1948,0.2
ViT,n01740131,n13133613,False,4,night_snake,ear,1364,0.3
ViT,n01740131,n09288635,False,4,night_snake,geyser,1364,0.3
CNN,n03532672,n04517823,True,4,hook,vacuum,1948,0.2
ViT,n07880968,n03692522,False,4,burrito,loupe,1192,0.3
ViT,n04004767,n03920288,False,4,printer,Petri_dish,1266,0.3
CNN,n04033995,n07860988,False,4,quilt,dough,1800,0.2
ViT,n01737021,n03065424,False,4,water_snake,coil,1191,0.3
ViT,n01737021,n02219486,False,4,water_snake,ant,1191,0.3
ViT,n07880968,n03494278,False,4,burrito,harmonica,1192,0.3
ViT,n07880968,n03759954,False,4,burrito,microphone,1192,0.3
CNN,n03661043,n04326547,True,4,library,stone_wall,1808,0.2
ViT,n04208210,n04326547,False,4,shovel,stone_wall,1205,0.3
CNN,n07614500,n07742313,True,4,ice_cream,Granny_Smith,1966,0.2
ViT,n01737021,n02268443,False,4,water_snake,dragonfly,1191,0.3
ViT,n01737021,n02317335,False,4,water_snake,starfish,1191,0.3
ViT,n07880968,n02490219,False,4,burrito,marmoset,1192,0.3
CNN,n02776631,n03400231,False,4,bakery,frying_pan,1981,0.2
ViT,n03958227,n09428293,False,4,plastic_bag,seashore,1355,0.3
ViT,n03958227,n09421951,False,4,plastic_bag,sandbar,1355,0.3
ViT,n01740131,n04417672,False,4,night_snake,thatch,1364,0.3
CNN,n02776631,n02930766,False,4,bakery,cab,1981,0.2
CNN,n02776631,n02939185,False,4,bakery,caldron,1981,0.2
CNN,n03532672,n04579432,True,4,hook,whistle,1948,0.2
CNN,n02776631,n03314780,False,4,bakery,face_powder,1981,0.2
CNN,n04081281,n03535780,False,4,restaurant,horizontal_bar,1977,0.2
CNN,n04081281,n03590841,False,4,restaurant,jack-o'-lantern,1977,0.2
CNN,n04081281,n03599486,False,4,restaurant,jinrikisha,1977,0.2
ViT,n03995372,n02730930,False,4,power_drill,apron,1258,0.3
CNN,n04081281,n03179701,False,4,restaurant,desk,1977,0.2
CNN,n04081281,n03075370,False,4,restaurant,combination_lock,1977,0.2
ViT,n03995372,n02110958,False,4,power_drill,pug,1258,0.3
CNN,n06596364,n02791270,False,4,comic_book,barbershop,1666,0.2
ViT,n03481172,n03791053,False,4,hammer,motor_scooter,1254,0.3
CNN,n06596364,n03393912,False,4,comic_book,freight_car,1666,0.2
CNN,n06596364,n02817516,False,4,comic_book,bearskin,1666,0.2
CNN,n06596364,n03388043,False,4,comic_book,fountain,1666,0.2
CNN,n03532672,n12267677,False,4,hook,acorn,1948,0.2
ViT,n02971356,n01614925,False,4,carton,bald_eagle,1308,0.3
CNN,n03532672,n09256479,False,4,hook,coral_reef,1948,0.2
CNN,n03532672,n07892512,False,4,hook,red_wine,1948,0.2
CNN,n03532672,n09193705,False,4,hook,alp,1948,0.2
CNN,n03633091,n01943899,False,4,ladle,conch,1894,0.2
CNN,n03633091,n02009912,False,4,ladle,American_egret,1894,0.2
CNN,n03633091,n01773549,False,4,ladle,barn_spider,1894,0.2
CNN,n07684084,n01632777,False,4,French_loaf,axolotl,1814,0.2
CNN,n07684084,n01664065,False,4,French_loaf,loggerhead,1814,0.2
CNN,n07684084,n01665541,False,4,French_loaf,leatherback_turtle,1814,0.2
CNN,n03661043,n03982430,False,4,library,pool_table,1808,0.2
CNN,n03661043,n04009552,False,4,library,projector,1808,0.2
CNN,n03661043,n03874599,False,4,library,padlock,1808,0.2
ViT,n04004767,n03888257,True,4,printer,parachute,1266,0.3
ViT,n04004767,n03791053,False,4,printer,motor_scooter,1266,0.3
ViT,n04004767,n03891332,True,4,printer,parking_meter,1266,0.3
CNN,n04033995,n04523525,True,4,quilt,vault,1800,0.2
CNN,n04033995,n04447861,False,4,quilt,toilet_seat,1800,0.2
CNN,n04033995,n04493381,False,4,quilt,tub,1800,0.2
CNN,n01985128,n03535780,False,4,crayfish,horizontal_bar,1822,0.2
ViT,n04550184,n03876231,False,4,wardrobe,paintbrush,1082,0.4
CNN,n04081281,n02999410,False,4,restaurant,chain,1977,0.2
CNN,n04081281,n02877765,False,4,restaurant,bottlecap,1977,0.2
CNN,n01985128,n03876231,False,4,crayfish,paintbrush,1822,0.2
ViT,n07614500,n02319095,False,4,ice_cream,sea_urchin,1284,0.3
ViT,n07614500,n02328150,False,4,ice_cream,Angora,1284,0.3
ViT,n04254120,n03089624,False,4,soap_dispenser,confectionery,1183,0.3
CNN,n04081281,n02965783,False,4,restaurant,car_mirror,1977,0.2
ViT,n04254120,n03127747,False,4,soap_dispenser,crash_helmet,1183,0.3
ViT,n04254120,n03026506,False,4,soap_dispenser,Christmas_stocking,1183,0.3
ViT,n04254120,n02977058,False,4,soap_dispenser,cash_machine,1183,0.3
ViT,n04254120,n03075370,False,4,soap_dispenser,combination_lock,1183,0.3
CNN,n07614500,n04371774,False,4,ice_cream,swing,1966,0.2
CNN,n07614500,n04270147,False,4,ice_cream,spatula,1966,0.2
CNN,n04041544,n02823428,False,4,radio,beer_bottle,1899,0.2
ViT,n04004767,n03887697,False,4,printer,paper_towel,1266,0.3
CNN,n04041544,n02877765,False,4,radio,bottlecap,1899,0.2
CNN,n04041544,n03187595,True,4,radio,dial_telephone,1899,0.2
CNN,n03661043,n04507155,False,4,library,umbrella,1808,0.2
ViT,n04208210,n04550184,False,4,shovel,wardrobe,1205,0.3
ViT,n01740131,n03127747,False,4,night_snake,crash_helmet,1364,0.3
ViT,n04254120,n03160309,False,4,soap_dispenser,dam,1183,0.3
CNN,n03633091,n02823428,True,4,ladle,beer_bottle,1894,0.2
ViT,n03995372,n02910353,False,4,power_drill,buckle,1258,0.3
ViT,n03995372,n02916936,False,4,power_drill,bulletproof_vest,1258,0.3
CNN,n06596364,n03452741,False,4,comic_book,grand_piano,1666,0.2
CNN,n04081281,n01748264,False,4,restaurant,Indian_cobra,1977,0.2
CNN,n04081281,n01943899,False,4,restaurant,conch,1977,0.2
ViT,n03995372,n03160309,False,4,power_drill,dam,1258,0.3
ViT,n03481172,n03291819,False,4,hammer,envelope,1254,0.3
ViT,n01740131,n02319095,False,4,night_snake,sea_urchin,1364,0.3
ViT,n01740131,n02321529,False,4,night_snake,sea_cucumber,1364,0.3
ViT,n01740131,n02233338,False,4,night_snake,cockroach,1364,0.3
ViT,n03481172,n03388183,True,4,hammer,fountain_pen,1254,0.3
ViT,n03481172,n03590841,False,4,hammer,jack-o'-lantern,1254,0.3
CNN,n06596364,n03721384,False,4,comic_book,marimba,1666,0.2
ViT,n04239074,n06785654,False,4,sliding_door,crossword_puzzle,1277,0.3
CNN,n03633091,n02799071,False,4,ladle,baseball,1894,0.2
ViT,n04254120,n02808440,True,4,soap_dispenser,bathtub,1183,0.3
ViT,n04254120,n02783161,False,4,soap_dispenser,ballpoint,1183,0.3
ViT,n02971356,n02860847,False,4,carton,bobsled,1308,0.3
ViT,n02971356,n02445715,False,4,carton,skunk,1308,0.3
ViT,n04239074,n09256479,False,4,sliding_door,coral_reef,1277,0.3
ViT,n04254120,n01773549,False,4,soap_dispenser,barn_spider,1183,0.3
CNN,n02109047,n02088238,True,4,Great_Dane,basset,1707,0.2
CNN,n02109047,n01943899,False,4,Great_Dane,conch,1707,0.2
CNN,n02109047,n01704323,False,4,Great_Dane,triceratops,1707,0.2
CNN,n02109047,n01770081,False,4,Great_Dane,harvestman,1707,0.2
CNN,n02109047,n02105056,True,4,Great_Dane,groenendael,1707,0.2
CNN,n03661043,n03980874,False,4,library,poncho,1808,0.2
CNN,n07614500,n04141076,False,4,ice_cream,sax,1966,0.2
CNN,n07614500,n04273569,False,4,ice_cream,speedboat,1966,0.2
CNN,n07614500,n04111531,False,4,ice_cream,rotisserie,1966,0.2
ViT,n02971356,n04201297,False,4,carton,shoji,1308,0.3
ViT,n04208210,n09246464,False,4,shovel,cliff,1205,0.3
ViT,n04239074,n01776313,False,4,sliding_door,tick,1277,0.3
ViT,n02971356,n03929660,False,4,carton,pick,1308,0.3
ViT,n02971356,n04116512,False,4,carton,rubber_eraser,1308,0.3
ViT,n03995372,n03424325,False,4,power_drill,gasmask,1258,0.3
CNN,n04067472,n07718472,False,4,reel,cucumber,1763,0.2
CNN,n04067472,n04606251,False,4,reel,wreck,1763,0.2
CNN,n06596364,n03791053,False,4,comic_book,motor_scooter,1666,0.2
CNN,n04067472,n09256479,False,4,reel,coral_reef,1763,0.2
ViT,n03995372,n03452741,False,4,power_drill,grand_piano,1258,0.3
CNN,n04067472,n09229709,False,4,reel,bubble,1763,0.2
CNN,n03633091,n02788148,False,4,ladle,bannister,1894,0.2
CNN,n03633091,n02879718,False,4,ladle,bow,1894,0.2
ViT,n04239074,n04418357,False,4,sliding_door,theater_curtain,1277,0.3
ViT,n04254120,n02328150,False,4,soap_dispenser,Angora,1183,0.3
CNN,n01740131,n01871265,False,4,night_snake,tusker,2018,0.2
CNN,n06596364,n04127249,True,4,comic_book,safety_pin,1666,0.2
ViT,n03481172,n03065424,False,4,hammer,coil,1254,0.3
ViT,n01740131,n03065424,False,4,night_snake,coil,1364,0.3
CNN,n01985128,n04136333,False,4,crayfish,sarong,1822,0.2
ViT,n01740131,n02123394,False,4,night_snake,Persian_cat,1364,0.3
CNN,n01985128,n04023962,False,4,crayfish,punching_bag,1822,0.2
CNN,n02776631,n02672831,False,4,bakery,accordion,1981,0.2
CNN,n03633091,n02892201,False,4,ladle,brass,1894,0.2
ViT,n02971356,n03000684,False,4,carton,chain_saw,1308,0.3
CNN,n04041544,n03000134,False,4,radio,chainlink_fence,1899,0.2
CNN,n04041544,n03476991,False,4,radio,hair_spray,1899,0.2
CNN,n04041544,n03197337,True,4,radio,digital_watch,1899,0.2
ViT,n04239074,n02096437,False,4,sliding_door,Dandie_Dinmont,1277,0.3
ViT,n02971356,n04033901,False,4,carton,quill,1308,0.3
ViT,n02971356,n04033995,False,4,carton,quilt,1308,0.3
ViT,n02971356,n03938244,False,4,carton,pillow,1308,0.3
ViT,n02971356,n03944341,False,4,carton,pinwheel,1308,0.3
ViT,n02971356,n03958227,True,4,carton,plastic_bag,1308,0.3
ViT,n04004767,n03692522,True,4,printer,loupe,1266,0.3
CNN,n03661043,n03742115,False,4,library,medicine_chest,1808,0.2
ViT,n03995372,n03595614,False,4,power_drill,jersey,1258,0.3
CNN,n04067472,n04367480,False,4,reel,swab,1763,0.2
ViT,n03995372,n03530642,False,4,power_drill,honeycomb,1258,0.3
ViT,n03995372,n03532672,False,4,power_drill,hook,1258,0.3
ViT,n10148035,n06596364,False,4,groom,comic_book,1049,0.4
CNN,n04067472,n06874185,False,4,reel,traffic_light,1763,0.2
CNN,n04067472,n10148035,False,4,reel,groom,1763,0.2
CNN,n01740131,n02447366,False,4,night_snake,badger,2018,0.2
CNN,n01740131,n02480855,False,4,night_snake,gorilla,2018,0.2
CNN,n04067472,n04228054,True,4,reel,ski,1763,0.2
CNN,n04067472,n04317175,True,4,reel,stethoscope,1763,0.2
CNN,n04067472,n04204347,False,4,reel,shopping_cart,1763,0.2
CNN,n04067472,n04127249,True,4,reel,safety_pin,1763,0.2
ViT,n03481172,n02966193,False,4,hammer,carousel,1254,0.3
CNN,n06596364,n04286575,True,4,comic_book,spotlight,1666,0.2
CNN,n04067472,n04336792,True,4,reel,stretcher,1763,0.2
CNN,n03633091,n03207743,False,4,ladle,dishrag,1894,0.2
CNN,n03633091,n03000684,False,4,ladle,chain_saw,1894,0.2
CNN,n03633091,n02950826,False,4,ladle,cannon,1894,0.2
ViT,n04239074,n04467665,False,4,sliding_door,trailer_truck,1277,0.3
ViT,n04239074,n04380533,False,4,sliding_door,table_lamp,1277,0.3
CNN,n03633091,n03250847,False,4,ladle,drumstick,1894,0.2
CNN,n03633091,n03089624,False,4,ladle,confectionery,1894,0.2
CNN,n03633091,n03347037,False,4,ladle,fire_screen,1894,0.2
ViT,n03476991,n04209239,False,4,hair_spray,shower_curtain,1245,0.3
CNN,n04041544,n03876231,False,4,radio,paintbrush,1899,0.2
CNN,n02769748,n04443257,False,4,backpack,tobacco_shop,2053,0.2
CNN,n03661043,n02917067,False,4,library,bullet_train,1808,0.2
CNN,n03661043,n02930766,False,4,library,cab,1808,0.2
CNN,n07614500,n03929660,False,4,ice_cream,pick,1966,0.2
ViT,n02971356,n04009552,False,4,carton,projector,1308,0.3
CNN,n02769748,n07248320,False,4,backpack,book_jacket,2053,0.2
CNN,n02769748,n04485082,False,4,backpack,tripod,2053,0.2
CNN,n02769748,n04579432,False,4,backpack,whistle,2053,0.2
CNN,n04041544,n03485407,True,4,radio,hand-held_computer,1899,0.2
ViT,n01737021,n03532672,False,4,water_snake,hook,1191,0.3
ViT,n02971356,n03041632,False,4,carton,cleaver,1308,0.3
ViT,n01740131,n01986214,False,4,night_snake,hermit_crab,1364,0.3
ViT,n03481172,n02951585,True,4,hammer,can_opener,1254,0.3
ViT,n03481172,n02799071,False,4,hammer,baseball,1254,0.3
ViT,n03995372,n03637318,False,4,power_drill,lampshade,1258,0.3
CNN,n04067472,n03954731,False,4,reel,plane,1763,0.2
CNN,n04067472,n03908714,False,4,reel,pencil_sharpener,1763,0.2
ViT,n03995372,n03814906,False,4,power_drill,necklace,1258,0.3
CNN,n04067472,n03791053,False,4,reel,motor_scooter,1763,0.2
CNN,n04067472,n03706229,True,4,reel,magnetic_compass,1763,0.2
ViT,n03995372,n03627232,False,4,power_drill,knot,1258,0.3
ViT,n04239074,n02965783,False,4,sliding_door,car_mirror,1277,0.3
CNN,n02109047,n01484850,False,4,Great_Dane,great_white_shark,1707,0.2
ViT,n03476991,n04429376,False,4,hair_spray,throne,1245,0.3
CNN,n07614500,n03788365,False,4,ice_cream,mosquito_net,1966,0.2
CNN,n07614500,n03792782,False,4,ice_cream,mountain_bike,1966,0.2
ViT,n06596364,n04371774,True,4,comic_book,swing,1098,0.4
CNN,n02109047,n01494475,False,4,Great_Dane,hammerhead,1707,0.2
ViT,n04004767,n03376595,False,4,printer,folding_chair,1266,0.3
ViT,n04004767,n03661043,False,4,printer,library,1266,0.3
ViT,n04004767,n03666591,True,4,printer,lighter,1266,0.3
ViT,n04004767,n03584254,True,4,printer,iPod,1266,0.3
CNN,n06596364,n06785654,False,4,comic_book,crossword_puzzle,1666,0.2
CNN,n06596364,n04523525,False,4,comic_book,vault,1666,0.2
CNN,n06596364,n04548362,False,4,comic_book,wallet,1666,0.2
ViT,n03481172,n02906734,True,4,hammer,broom,1254,0.3
ViT,n01740131,n01784675,False,4,night_snake,centipede,1364,0.3
ViT,n02971356,n03452741,False,4,carton,grand_piano,1308,0.3
ViT,n02971356,n03481172,False,4,carton,hammer,1308,0.3
ViT,n04239074,n04149813,True,4,sliding_door,scoreboard,1277,0.3
ViT,n02971356,n03384352,False,4,carton,forklift,1308,0.3
CNN,n03633091,n03692522,False,4,ladle,loupe,1894,0.2
CNN,n03633091,n03942813,False,4,ladle,ping-pong_ball,1894,0.2
CNN,n03633091,n03627232,False,4,ladle,knot,1894,0.2
CNN,n06596364,n12620546,False,4,comic_book,hip,1666,0.2
CNN,n07614500,n01443537,False,4,ice_cream,goldfish,1966,0.2
CNN,n07614500,n01494475,False,4,ice_cream,hammerhead,1966,0.2
CNN,n07614500,n01496331,False,4,ice_cream,electric_ray,1966,0.2
CNN,n01985128,n04591157,False,4,crayfish,Windsor_tie,1822,0.2
ViT,n07614500,n02112018,False,4,ice_cream,Pomeranian,1284,0.3
CNN,n01985128,n13037406,False,4,crayfish,gyromitra,1822,0.2
ViT,n03995372,n03916031,False,4,power_drill,perfume,1258,0.3
CNN,n04067472,n03355925,False,4,reel,flagpole,1763,0.2
ViT,n01740131,n01749939,True,4,night_snake,green_mamba,1364,0.3
CNN,n04041544,n04243546,True,4,radio,slot,1899,0.2
CNN,n04041544,n04037443,False,4,radio,racer,1899,0.2
CNN,n04041544,n04462240,False,4,radio,toyshop,1899,0.2
CNN,n04041544,n06359193,True,4,radio,web_site,1899,0.2
ViT,n01737021,n07730033,False,4,water_snake,cardoon,1191,0.3
CNN,n07614500,n03447721,False,4,ice_cream,gong,1966,0.2
ViT,n01737021,n03920288,False,4,water_snake,Petri_dish,1191,0.3
ViT,n07614500,n02123394,False,4,ice_cream,Persian_cat,1284,0.3
CNN,n04067472,n03457902,False,4,reel,greenhouse,1763,0.2
CNN,n04067472,n03483316,True,4,reel,hand_blower,1763,0.2
ViT,n03481172,n02699494,False,4,hammer,altar,1254,0.3
ViT,n03481172,n02783161,True,4,hammer,ballpoint,1254,0.3
CNN,n07614500,n01774384,False,4,ice_cream,black_widow,1966,0.2
ViT,n10148035,n04462240,False,4,groom,toyshop,1049,0.4
ViT,n10148035,n04485082,False,4,groom,tripod,1049,0.4
CNN,n07614500,n02483708,False,4,ice_cream,siamang,1966,0.2
CNN,n03633091,n03887697,False,4,ladle,paper_towel,1894,0.2
ViT,n10148035,n04443257,False,4,groom,tobacco_shop,1049,0.4
ViT,n04550184,n03916031,False,4,wardrobe,perfume,1082,0.4
ViT,n04550184,n04005630,False,4,wardrobe,prison,1082,0.4
CNN,n02776631,n01665541,False,4,bakery,leatherback_turtle,1981,0.2
CNN,n02776631,n01443537,False,4,bakery,goldfish,1981,0.2
ViT,n03995372,n03992509,False,4,power_drill,potter's_wheel,1258,0.3
ViT,n03995372,n03944341,False,4,power_drill,pinwheel,1258,0.3
ViT,n03995372,n03942813,False,4,power_drill,ping-pong_ball,1258,0.3
CNN,n03633091,n09288635,False,4,ladle,geyser,1894,0.2
ViT,n07880968,n03325584,False,4,burrito,feather_boa,1192,0.3
CNN,n03633091,n04487394,False,4,ladle,trombone,1894,0.2
CNN,n03633091,n04111531,False,4,ladle,rotisserie,1894,0.2
CNN,n03633091,n03929660,False,4,ladle,pick,1894,0.2
ViT,n04004767,n02747177,False,4,printer,ashcan,1266,0.3
ViT,n04004767,n03014705,False,4,printer,chest,1266,0.3
ViT,n04004767,n02948072,True,4,printer,candle,1266,0.3
ViT,n04004767,n02971356,False,4,printer,carton,1266,0.3
ViT,n04004767,n02917067,False,4,printer,bullet_train,1266,0.3
CNN,n04041544,n04335435,False,4,radio,streetcar,1899,0.2
ViT,n01737021,n04141076,False,4,water_snake,sax,1191,0.3
ViT,n04004767,n02699494,False,4,printer,altar,1266,0.3
ViT,n02971356,n03690938,False,4,carton,lotion,1308,0.3
ViT,n01740131,n01622779,False,4,night_snake,great_grey_owl,1364,0.3
ViT,n01740131,n01630670,True,4,night_snake,common_newt,1364,0.3
ViT,n01740131,n01644900,True,4,night_snake,tailed_frog,1364,0.3
ViT,n02971356,n03759954,False,4,carton,microphone,1308,0.3
ViT,n01737021,n04273569,False,4,water_snake,speedboat,1191,0.3
ViT,n04239074,n03355925,False,4,sliding_door,flagpole,1277,0.3
ViT,n04239074,n03032252,True,4,sliding_door,cinema,1277,0.3
ViT,n10148035,n04372370,False,4,groom,switch,1049,0.4
ViT,n04239074,n03930313,True,4,sliding_door,picket_fence,1277,0.3
ViT,n04239074,n03891332,False,4,sliding_door,parking_meter,1277,0.3
CNN,n03633091,n04209133,False,4,ladle,shower_cap,1894,0.2
CNN,n01697457,n04141076,False,4,African_crocodile,sax,1806,0.2
ViT,n03995372,n04243546,False,4,power_drill,slot,1258,0.3
ViT,n03995372,n04200800,False,4,power_drill,shoe_shop,1258,0.3
CNN,n04067472,n02640242,False,4,reel,sturgeon,1763,0.2
ViT,n03481172,n01774750,False,4,hammer,tarantula,1254,0.3
CNN,n07614500,n02326432,False,4,ice_cream,hare,1966,0.2
ViT,n03481172,n01943899,False,4,hammer,conch,1254,0.3
CNN,n04067472,n03444034,False,4,reel,go-kart,1763,0.2
CNN,n04067472,n02966687,True,4,reel,carpenter's_kit,1763,0.2
ViT,n03995372,n04372370,False,4,power_drill,switch,1258,0.3
ViT,n03995372,n04487394,False,4,power_drill,trombone,1258,0.3
CNN,n07614500,n02319095,False,4,ice_cream,sea_urchin,1966,0.2
CNN,n07614500,n02206856,False,4,ice_cream,bee,1966,0.2
ViT,n03481172,n01768244,False,4,hammer,trilobite,1254,0.3
ViT,n03481172,n01774384,False,4,hammer,black_widow,1254,0.3
CNN,n04067472,n03065424,False,4,reel,coil,1763,0.2
CNN,n03633091,n04296562,False,4,ladle,stage,1894,0.2
ViT,n04239074,n03733281,False,4,sliding_door,maze,1277,0.3
ViT,n04239074,n03782006,False,4,sliding_door,monitor,1277,0.3
ViT,n01737021,n09332890,False,4,water_snake,lakeside,1191,0.3
ViT,n03995372,n04525038,False,4,power_drill,velvet,1258,0.3
CNN,n04067472,n01774750,False,4,reel,tarantula,1763,0.2
CNN,n04067472,n02486261,False,4,reel,patas,1763,0.2
CNN,n03633091,n09256479,False,4,ladle,coral_reef,1894,0.2
CNN,n03633091,n04552348,False,4,ladle,warplane,1894,0.2
CNN,n02769748,n09256479,False,4,backpack,coral_reef,2053,0.2
CNN,n01985128,n04552348,False,4,crayfish,warplane,1822,0.2
CNN,n01740131,n01491361,False,4,night_snake,tiger_shark,2018,0.2
CNN,n01737021,n09472597,False,4,water_snake,volcano,1768,0.2
ViT,n03476991,n06785654,False,4,hair_spray,crossword_puzzle,1245,0.3
CNN,n07614500,n03325584,False,4,ice_cream,feather_boa,1966,0.2
CNN,n01740131,n01695060,True,4,night_snake,Komodo_dragon,2018,0.2
CNN,n07614500,n03127747,False,4,ice_cream,crash_helmet,1966,0.2
CNN,n07614500,n02869837,False,4,ice_cream,bonnet,1966,0.2
CNN,n04067472,n01943899,False,4,reel,conch,1763,0.2
CNN,n04067472,n02835271,False,4,reel,bicycle-built-for-two,1763,0.2
ViT,n03995372,n04509417,False,4,power_drill,unicycle,1258,0.3
CNN,n07614500,n03089624,False,4,ice_cream,confectionery,1966,0.2
CNN,n07614500,n02841315,False,4,ice_cream,binoculars,1966,0.2
CNN,n03633091,n07753113,False,4,ladle,fig,1894,0.2
ViT,n04239074,n03529860,True,4,sliding_door,home_theater,1277,0.3
ViT,n04239074,n03598930,False,4,sliding_door,jigsaw_puzzle,1277,0.3
ViT,n03476991,n07892512,False,4,hair_spray,red_wine,1245,0.3
ViT,n01737021,n04372370,False,4,water_snake,switch,1191,0.3
ViT,n02971356,n03788365,False,4,carton,mosquito_net,1308,0.3
ViT,n04004767,n01614925,False,4,printer,bald_eagle,1266,0.3
ViT,n03476991,n04493381,False,4,hair_spray,tub,1245,0.3
ViT,n03476991,n04501370,False,4,hair_spray,turnstile,1245,0.3
CNN,n03633091,n07716906,False,4,ladle,spaghetti_squash,1894,0.2
ViT,n04550184,n04501370,False,4,wardrobe,turnstile,1082,0.4
ViT,n04550184,n04404412,False,4,wardrobe,television,1082,0.4
ViT,n04239074,n02823750,False,4,sliding_door,beer_glass,1277,0.3
CNN,n02769748,n09193705,False,4,backpack,alp,2053,0.2
ViT,n04550184,n04330267,False,4,wardrobe,stove,1082,0.4
ViT,n04550184,n04350905,False,4,wardrobe,suit,1082,0.4
ViT,n04550184,n04254120,False,4,wardrobe,soap_dispenser,1082,0.4
CNN,n04357314,n04372370,False,4,sunscreen,switch,1942,0.2
CNN,n04357314,n04074963,False,4,sunscreen,remote_control,1942,0.2
CNN,n04357314,n04443257,False,4,sunscreen,tobacco_shop,1942,0.2
CNN,n04357314,n04254777,False,4,sunscreen,sock,1942,0.2
ViT,n04476259,n12144580,False,4,tray,corn,1199,0.3
ViT,n04476259,n07836838,False,4,tray,chocolate_sauce,1199,0.3
ViT,n15075141,n06874185,True,4,toilet_tissue,traffic_light,1344,0.3
CNN,n01667114,n01770393,False,4,mud_turtle,scorpion,1791,0.2
ViT,n07860988,n03887697,False,4,dough,paper_towel,1338,0.3
ViT,n03782006,n03041632,False,4,monitor,cleaver,1364,0.3
CNN,n10148035,n03404251,False,4,groom,fur_coat,1759,0.2
ViT,n03089624,n03535780,False,4,confectionery,horizontal_bar,1202,0.3
ViT,n15075141,n07248320,True,4,toilet_tissue,book_jacket,1344,0.3
ViT,n15075141,n07584110,False,4,toilet_tissue,consomme,1344,0.3
ViT,n15075141,n09229709,True,4,toilet_tissue,bubble,1344,0.3
ViT,n02730930,n04589890,False,4,apron,window_screen,1104,0.4
ViT,n15075141,n04591713,False,4,toilet_tissue,wine_bottle,1344,0.3
CNN,n02808440,n03535780,False,4,bathtub,horizontal_bar,2031,0.2
CNN,n01667114,n01784675,False,4,mud_turtle,centipede,1791,0.2
CNN,n01667114,n01695060,True,4,mud_turtle,Komodo_dragon,1791,0.2
CNN,n01667114,n01632777,True,4,mud_turtle,axolotl,1791,0.2
ViT,n02730930,n03935335,False,4,apron,piggy_bank,1104,0.4
ViT,n15075141,n07836838,False,3,toilet_tissue,chocolate_sauce,1344,0.2
ViT,n15075141,n04442312,False,3,toilet_tissue,toaster,1344,0.2
